"gen","n.trials","v.bar","v.var","n.bar","n.var","b.bar","b.var","w.bar","w.var","p.fixp","p.fixn"
1,1000,0.250025625,1.96741937301165e-06,20,0,0.000861720662395884,0.0235980429804803,0.816382564236813,0.00673909430461504,0,0
2,1000,0.239589604595993,3.41336562531114e-05,16.319,34.5217607607609,0.140264793932568,0.0759640969475366,0.889912737093669,0.0227898747042382,0.000425,0.000525
3,990,0.227256495080244,0.000171672625691279,14.6222222222222,66.5366138636107,0.256999558770273,0.1318220201318,0.953972346865366,0.0407929800174307,0.00952020202020202,0.00782828282828283
4,956,0.215024805597598,0.000382126980014521,14.9728033472803,116.839050143486,0.352703875629928,0.181763046113745,1.0067682597765,0.0576989904467078,0.0283995815899582,0.0230387029288703
5,871,0.204412096723647,0.000438770984305994,17.548794489093,206.863995671509,0.455641682257789,0.210356042149043,1.06433273668446,0.0677737218118102,0.0455510907003444,0.0336107921928817
6,798,0.196111560385863,0.000521774807000325,21.9812030075188,414.251841963755,0.555567799706025,0.218651709730741,1.12138305426142,0.0712256480988098,0.0587719298245614,0.0406641604010025
7,731,0.190154557880753,0.000579298113425778,29.7564979480164,904.431036485953,0.657038986957459,0.213667225070289,1.1789032720844,0.070840378017117,0.0682626538987688,0.0429890560875513
8,679,0.185255894177183,0.000617840230744401,41.6259204712813,2175.98080206446,0.756730921940959,0.199069229745927,1.23605576695683,0.0666954675679484,0.0790132547864507,0.0451767304860088
9,639,0.18109344875316,0.00062839501518343,61.981220657277,5752.22221731644,0.830681206546044,0.205354693967655,1.27836033536812,0.0682698121116263,0.0844287949921753,0.0462050078247261
10,609,0.178232191055872,0.000643248333049115,93.5254515599343,15071.3550254948,0.912701324930893,0.180439868472642,1.32546407255659,0.0596024443572166,0.0899425287356322,0.0452380952380952
11,581,0.175157869007909,0.000621021878809981,149.144578313253,43099.275612796,0.991835795420132,0.162892083316838,1.3711380916119,0.0532199777320894,0.0908347676419966,0.042986230636833
12,565,0.173001833589697,0.000631597912749226,236.840707964602,124705.591602335,1.05250720789048,0.161916145483038,1.4059943847137,0.0519109081223151,0.0934513274336283,0.0439823008849557
13,552,0.17198140824102,0.000655287252164649,384.545289855072,362141.137691023,1.10425430959916,0.156721989531204,1.43511396162107,0.0492720360193773,0.0938405797101449,0.0427083333333333
14,542,0.171040332409651,0.000628767358014402,634.317343173432,1083587.54420882,1.15521013945751,0.139517610595275,1.46361390533037,0.0430395065736572,0.0933579335793358,0.0415590405904059
15,538,0.169797955294362,0.000577570802116427,1048.92750929368,3255873.92210961,1.19462777654147,0.132911600717913,1.48535341638082,0.0399461326740173,0.0949814126394052,0.0419609665427509
