"n.pop0","gen","gbar","gvar","zbar","zvar","wbar","wvar","n"
20,1,0.0004425,0.0254890014441113,3.23450305383681e-05,0.0510101354349213,0.773303869682655,0.011564938616507,4000
20,2,0.131782012482486,0.0768252578821825,0.130589449643641,0.113999356853759,0.833189926170471,0.0272856047910819,3999
20,3,0.239311411069227,0.149778548885225,0.239153532698635,0.217436898797159,0.886806328685759,0.0518287722354194,3947
20,4,0.352774931601747,0.215255205932083,0.36406630711302,0.295054427863856,0.948768937845099,0.0727523149674767,3642
20,5,0.469758613706764,0.254869870817514,0.473890744350574,0.337212898118062,1.00287374795099,0.0831563588496409,3201
20,6,0.590408812890917,0.277102959625849,0.583675135151874,0.354443632900386,1.05735470220455,0.0885439530299077,2804
20,7,0.704108757025613,0.28263078465524,0.706376577004725,0.353786932313489,1.11929786225695,0.0880821811772856,2507
20,8,0.807230086402257,0.285697624215604,0.814885020276846,0.34389771418709,1.17293145016477,0.0858978692937755,2267
20,9,0.913810068076245,0.267970718277747,0.918127088583547,0.314419489571684,1.22484703332597,0.0776718488808134,2071
20,10,1.00626203050244,0.256081036589754,1.0092745555842,0.306874904439704,1.26908240838461,0.0738930397150167,1949
20,11,1.09532839395511,0.226563731626183,1.09501551378084,0.251649286069188,1.31165086177837,0.0607784189663559,1855
20,12,1.16432791475276,0.218048429655501,1.16232910373945,0.243991366775086,1.34407623817114,0.0567025122513613,1793
20,13,1.22521870746764,0.209050035580405,1.22151379424506,0.23712716887205,1.37181317022561,0.0547631036244599,1758
20,14,1.28271235948871,0.201363958092988,1.27942578208432,0.221975659671751,1.39969478950288,0.050246495217362,1725
20,15,1.34381205709986,0.178884937378748,1.34421057588672,0.195143606722021,1.4300350182434,0.0424804660262856,1696
60,1,-0.00103666666666667,0.00826166296018448,-0.00321360327601512,0.0173251877682542,0.771952099049986,0.00393936672609253,4000
60,2,0.141969961362507,0.0255303707224334,0.143559750943299,0.0376186383749935,0.840022052931593,0.00903875481658305,4000
60,3,0.274121874148212,0.0459254142664068,0.273688928990649,0.0619317910209459,0.903069634118594,0.0153074087980898,4000
60,4,0.387062341082558,0.0703464084246988,0.3879985794278,0.0884287456218258,0.960329817132094,0.0221915097917971,3997
60,5,0.498236267259895,0.100132451870013,0.498924440129467,0.123413003511388,1.01554939172978,0.0313413844314311,3981
60,6,0.595009469485832,0.127872679810885,0.595323684129825,0.156012310101712,1.06396537114963,0.0391020317985538,3928
60,7,0.690775988886082,0.146223953223218,0.690134915740509,0.17543417369323,1.11111454929357,0.0444441336247688,3863
60,8,0.792494202290602,0.155174101146231,0.795850904126002,0.183126131830168,1.16455997264402,0.0460011109470381,3755
60,9,0.885837225195728,0.158110087275253,0.887126354410984,0.180333589886055,1.2103588375235,0.0453417894400015,3633
60,10,0.968823294683584,0.161087178491713,0.970877680055822,0.184425701653569,1.25170376457883,0.0459757565800806,3537
60,11,1.05434559163536,0.152247959315411,1.0535411563958,0.174112153611715,1.29188801919551,0.0423539092027242,3460
60,12,1.12898203553889,0.148503582718326,1.13164747598801,0.160281618827863,1.32946046198542,0.0387547950510233,3385
60,13,1.198730597505,0.145141024469307,1.19675582813853,0.158532143532102,1.36103159390983,0.0369216095263179,3343
60,14,1.26679136254962,0.134662863030531,1.26511199049852,0.145415498833387,1.39293396026835,0.0336470876423894,3299
60,15,1.32842728054456,0.126444114781211,1.32584626119977,0.138304516910068,1.42079221521251,0.0307800213430324,3275
