"trial","gen","var.t","n.t"
4,1,0.39,2
4,2,0.373125,8
4,3,0.36,21
4,4,0.330166468489893,58
4,5,0.319854040583838,106
4,6,0.320755935027072,196
4,7,0.320015044380924,391
4,8,0.31994652763066,714
4,9,0.32233757939514,1310
19,1,0.34,2
19,2,0.309387755102041,7
19,3,0.3075,20
19,4,0.29718836565097,38
19,5,0.298030222222222,75
19,6,0.310099186669312,142
19,7,0.308880944623973,337
19,8,0.309607994261469,724
19,9,0.309844405740349,1452
69,1,0.34,2
69,2,0.3196875,8
69,3,0.318620689655172,29
69,4,0.296668054977093,49
69,5,0.290271267361111,96
69,6,0.288072227352006,171
69,7,0.284767964246087,359
69,8,0.287878644040979,636
69,9,0.285698367663833,1292
70,1,0.395,2
70,2,0.378518518518519,9
70,3,0.329642074506939,37
70,4,0.322741333333333,75
70,5,0.324802696807456,123
70,6,0.321874487519307,229
70,7,0.319134303222141,444
70,8,0.317699574863698,859
70,9,0.318313589689762,1655
179,1,0.385,2
179,2,0.371836734693878,7
179,3,0.362577777777778,15
179,4,0.343067776456599,29
179,5,0.329865088757396,65
179,6,0.328915555555556,150
179,7,0.32990292238821,282
179,8,0.327937647928994,520
179,9,0.329918958050678,1037
212,1,0.355,2
212,2,0.326938775510204,7
212,3,0.277278106508876,13
212,4,0.278808163265306,35
212,5,0.262414201183432,65
212,6,0.261496548323471,156
212,7,0.261141827735035,365
212,8,0.256274239184386,691
212,9,0.254293389150532,1365
260,1,0.459444444444444,2
260,2,0.38962962962963,9
260,3,0.373673469387755,28
260,4,0.354482022071912,53
260,5,0.345501957992168,106
260,6,0.341528071571348,227
260,7,0.342938348127742,396
260,8,0.342961505210981,831
260,9,0.345162827317083,1469
354,1,0.35,2
354,2,0.3176,5
354,3,0.3224,15
354,4,0.287698961937716,34
354,5,0.265314285714286,70
354,6,0.261862877382358,154
354,7,0.264788639053254,325
354,8,0.265709705550426,684
354,9,0.262461138069336,1326
362,1,0.365,2
362,2,0.324444444444444,6
362,3,0.302675736961451,21
362,4,0.286989619377163,34
362,5,0.292123151958543,81
362,6,0.28614560603055,213
362,7,0.282732019651534,386
362,8,0.283045311654949,688
362,9,0.284355367815575,1309
374,1,0.385,2
374,2,0.3809375,8
374,3,0.34805,20
374,4,0.351282051282051,39
374,5,0.336273148148148,72
374,6,0.34388067061144,156
374,7,0.335242852587948,291
374,8,0.333997508312501,603
374,9,0.335109134348645,1191
480,1,0.44,2
480,2,0.344,5
480,3,0.30375,8
480,4,0.254193548387097,31
480,5,0.252647111111111,75
480,6,0.249150109949462,161
480,7,0.246231563145055,365
480,8,0.248239439254084,654
480,9,0.245588639827516,1281
498,1,0.395,2
498,2,0.382222222222222,6
498,3,0.390532544378698,13
498,4,0.37740234375,32
498,5,0.374723534971645,92
498,6,0.369447479912345,185
498,7,0.369656024018595,352
498,8,0.369239508187169,655
498,9,0.37013481286236,1169
504,1,0.385,2
504,2,0.38625,8
504,3,0.373877551020408,14
504,4,0.358395061728395,18
504,5,0.360362663495838,58
504,6,0.362358527898694,133
504,7,0.363825351816845,276
504,8,0.365863459664527,537
504,9,0.364893789061606,1045
558,1,0.34,2
558,2,0.335555555555556,6
558,3,0.308977777777778,15
558,4,0.298503401360544,42
558,5,0.289483737024221,85
558,6,0.296781896432042,147
558,7,0.302524043827214,321
558,8,0.300566911182464,678
558,9,0.300430572672282,1330
632,1,0.33,2
632,2,0.31125,12
632,3,0.284952741020794,23
632,4,0.274027777777778,60
632,5,0.282004855509437,113
632,6,0.282677160493827,180
632,7,0.277431246080803,366
632,8,0.278330413305726,677
632,9,0.278180268075278,1318
662,1,0.43,2
662,2,0.411666666666667,6
662,3,0.367022222222222,15
662,4,0.349506903353057,39
662,5,0.337320942156706,79
662,6,0.339029836742353,146
662,7,0.336498969120199,293
662,8,0.339797708924217,563
662,9,0.338995438513909,1077
753,1,0.375,2
753,2,0.37265306122449,7
753,3,0.336916099773243,21
753,4,0.325088275237664,47
753,5,0.32043956043956,91
753,6,0.315515399407832,181
753,7,0.314007897153352,330
753,8,0.313264230465212,559
753,9,0.313213648127319,1047
844,1,0.425,2
844,2,0.3864,5
844,3,0.3744,10
844,4,0.370840816326531,35
844,5,0.352312539382483,69
844,6,0.351691605071811,129
844,7,0.34642291819775,266
844,8,0.344074056754172,485
844,9,0.345305193568356,1004
873,1,0.33,2
873,2,0.31375,4
873,3,0.2388,10
873,4,0.232403746097815,31
873,5,0.228383487654321,72
873,6,0.22398454692161,143
873,7,0.22663770918152,271
873,8,0.224027633252399,558
873,9,0.223532403411105,1095
906,1,0.365,2
906,2,0.365,6
906,3,0.341772853185596,19
906,4,0.339916897506925,38
906,5,0.329582222222222,75
906,6,0.327941823232128,161
906,7,0.322748728682795,273
906,8,0.319535188801598,518
906,9,0.316454132812493,1063
